transaction_id,merchant_id,customer_id,amount,payment_method,status,failure_reason,retry_count,created_at
TXN100001,MERCHANT001,CUSTOMER7926,16386.29,UPI,SUCCESS,,0,2026-08-11T05:45:58.380680
TXN100002,MERCHANT003,CUSTOMER8581,6536.39,NET_BANKING,SUCCESS,,0,2026-07-31T22:57:24.380726
TXN100003,MERCHANT001,CUSTOMER2560,19930.96,WALLET,SUCCESS,,0,2026-08-14T00:58:50.380736
TXN100004,MERCHANT001,CUSTOMER5769,21706.81,NET_BANKING,SUCCESS,,0,2026-08-05T19:37:53.380743
TXN100005,MERCHANT004,CUSTOMER3933,24982.58,UPI,SUCCESS,,0,2026-08-01T19:57:09.380750
TXN100006,MERCHANT003,CUSTOMER7847,14038.63,WALLET,FAILED,TIMEOUT,1,2026-07-25T13:03:35.380763
TXN100007,MERCHANT002,CUSTOMER3019,24086.11,UPI,FAILED,BANK_DECLINED,2,2026-08-12T08:37:09.380774
TXN100008,MERCHANT005,CUSTOMER3680,18804.6,WALLET,SUCCESS,,0,2026-08-01T17:04:06.380780
TXN100009,MERCHANT001,CUSTOMER9898,7232.13,CARD,SUCCESS,,0,2026-08-09T00:56:50.380791
TXN100010,MERCHANT001,CUSTOMER2799,3972.36,WALLET,SUCCESS,,0,2026-08-24T08:10:35.380796
TXN100011,MERCHANT003,CUSTOMER8103,13562.04,WALLET,SUCCESS,,0,2026-08-12T13:19:50.380802
TXN100012,MERCHANT003,CUSTOMER5834,21671.12,NET_BANKING,SUCCESS,,0,2026-08-02T10:58:47.380808
TXN100013,MERCHANT005,CUSTOMER5881,11758.82,WALLET,SUCCESS,,0,2026-08-22T03:23:31.380813
TXN100014,MERCHANT001,CUSTOMER4657,487.35,NET_BANKING,SUCCESS,,0,2026-08-20T16:48:12.380819
TXN100015,MERCHANT003,CUSTOMER2276,10087.6,CARD,SUCCESS,,0,2026-07-29T02:09:23.380824
TXN100016,MERCHANT003,CUSTOMER4957,16264.65,NET_BANKING,SUCCESS,,0,2026-08-08T19:53:54.380829
TXN100017,MERCHANT002,CUSTOMER5330,180.99,UPI,SUCCESS,,0,2026-08-23T16:41:47.380835
TXN100018,MERCHANT005,CUSTOMER3737,20462.1,CARD,SUCCESS,,0,2026-08-05T06:00:59.380840
TXN100019,MERCHANT003,CUSTOMER5102,21318.06,NET_BANKING,SUCCESS,,0,2026-08-19T15:08:37.380845
TXN100020,MERCHANT003,CUSTOMER8956,17671.1,CARD,FAILED,TIMEOUT,1,2026-08-21T14:20:28.380853
TXN100021,MERCHANT001,CUSTOMER1726,16470.12,WALLET,SUCCESS,,0,2026-08-21T23:17:53.380858
TXN100022,MERCHANT001,CUSTOMER2094,13279.16,CARD,SUCCESS,,0,2026-08-19T12:59:42.380863
TXN100023,MERCHANT003,CUSTOMER3154,10289.61,WALLET,SUCCESS,,0,2026-08-20T06:13:29.380868
TXN100024,MERCHANT005,CUSTOMER2469,23448.16,NET_BANKING,SUCCESS,,0,2026-07-30T11:05:37.380873
TXN100025,MERCHANT003,CUSTOMER6627,18076.11,UPI,SUCCESS,,0,2026-08-06T10:37:55.380879
TXN100026,MERCHANT005,CUSTOMER4449,21407.26,UPI,SUCCESS,,0,2026-08-17T07:59:07.380884
TXN100027,MERCHANT001,CUSTOMER6905,17581.66,UPI,SUCCESS,,0,2026-07-25T02:21:11.380891
TXN100028,MERCHANT002,CUSTOMER3169,18260.09,NET_BANKING,SUCCESS,,0,2026-07-27T11:33:41.380896
TXN100029,MERCHANT003,CUSTOMER2601,11174.47,WALLET,SUCCESS,,0,2026-08-24T15:22:18.380901
TXN100030,MERCHANT001,CUSTOMER1531,12261.09,WALLET,SUCCESS,,0,2026-08-18T02:44:40.380907
TXN100031,MERCHANT003,CUSTOMER4071,12158.39,UPI,SUCCESS,,0,2026-08-20T05:57:39.380912
TXN100032,MERCHANT003,CUSTOMER4460,24737.36,CARD,FAILED,BANK_DECLINED,0,2026-08-24T01:27:06.380918
TXN100033,MERCHANT002,CUSTOMER5582,5872.85,CARD,FAILED,INSUFFICIENT_FUNDS,3,2026-08-06T03:11:53.380925
TXN100034,MERCHANT004,CUSTOMER8158,17814.93,NET_BANKING,SUCCESS,,0,2026-08-02T09:23:48.380931
TXN100035,MERCHANT005,CUSTOMER8498,15890.06,UPI,FAILED,INSUFFICIENT_FUNDS,0,2026-08-02T04:41:46.380937
TXN100036,MERCHANT004,CUSTOMER6989,19145.5,WALLET,SUCCESS,,0,2026-08-07T11:27:33.380943
TXN100037,MERCHANT005,CUSTOMER3179,18334.17,WALLET,SUCCESS,,0,2026-08-20T02:26:34.380949
TXN100038,MERCHANT005,CUSTOMER4776,4317.0,UPI,SUCCESS,,0,2026-08-11T12:27:57.380954
TXN100039,MERCHANT004,CUSTOMER8101,20710.16,CARD,SUCCESS,,0,2026-08-24T14:14:10.380959
TXN100040,MERCHANT005,CUSTOMER5084,13813.49,UPI,FAILED,BANK_DECLINED,1,2026-08-19T07:45:15.380965
TXN100041,MERCHANT005,CUSTOMER1115,16931.6,WALLET,SUCCESS,,0,2026-07-26T15:46:53.380971
